ID,Tweet,Affect Dimension,intensity
2017-En-20267,"Rooney ! Oh dear, oh dear ! Fucking dreadful ??????",fear,0.646
2017-En-21398,#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,fear,0.583
2017-En-21473,Am I the only one with parking sensors who still manages to reverse into things? #nightmare,fear,0.528
2017-En-20374,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,fear,0.583
2017-En-21881,I need to learn to be in one place at one time and try not to worry about everything all at once,fear,0.625
2017-En-21157,There goes the butterflies in my stomach.  #anxietyproblems,fear,0.702
2017-En-21186,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear,0.604
2017-En-21627,Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,fear,0.75
2017-En-20420,@LonelyGoomba UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops.,fear,0.562
2017-En-21346,penny dreadful just cleaved off a fraction of my heart,fear,0.583
2017-En-20184,Someone wake me when @Therealkiss make 2016 remix of 'Why'??b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much,fear,0.688
2017-En-20220,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence ?? #awful",fear,0.667
2017-En-21267,Been up since 4am. Too scared to go back to sleep #nightmare � feeling scared,fear,0.938
2017-En-20456,If I was friends with me I'd hate me SO MUCH with the amount I bully them,fear,0.542
2017-En-21327,"Shame on you @SkyNews showing an elephant being hunted and killed, ",fear,0.708
2017-En-22217,Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours,fear,0.917
2017-En-22091,@billmaher @realDonaldTrump was right and you two have very similar stances against #radical #islamic #terror. Time to anoint the Orange one,fear,0.521
2017-En-21900,Will you #dedicate today to #love or #fear ? It is your #choice in each #moment . - Archangel Michael. #archangel #michael,fear,0.542
2017-En-22157,@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,fear,0.535
2017-En-22186,@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic,fear,0.75
2017-En-20477,"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",fear,0.536
2017-En-21293,So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media ,fear,0.521
2017-En-20035,I was literally shaking getting the EKG done lol ??,fear,0.875
2017-En-20388,a vote for #killary is like sticking a knife in a toaster  #MakeAmericaGreatAgain,fear,0.576
2017-En-20257,@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon,fear,0.646
2017-En-21155,If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,0.729
2017-En-20276,"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",fear,0.646
2017-En-20464,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. ,fear,0.542
2017-En-20141,Tomorrow is the day I cut and dye my hair! ?? #nervous #excited,fear,0.729
2017-En-21601,First day of fall quarter tomorrow.  ?? #nervous #excited #anxious #blargh,fear,0.771
2017-En-20076,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear,0.833
2017-En-20149,Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA,fear,0.729
2017-En-20092,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear,0.8
2017-En-20406,"Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000",fear,0.562
2017-En-21456,"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",fear,0.558
2017-En-20444,Forgot to plug the phone in overnight #nightmare,fear,0.542
2017-En-20385,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,fear,0.583
2017-En-21484,@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,fear,0.688
2017-En-22161,Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB ?? #nervous #timetogrind,fear,0.75
2017-En-21464,@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,fear,0.708
2017-En-22043,there are magpies gathering around me help I'm going to be swooped ! ,fear,0.604
2017-En-22063,Was actually just watching AHS while half covering my eyes #scared #Roanoke #nightmare #AHSRoanoke,fear,0.771
2017-En-20430,My study skills are terrible ??,fear,0.562
2017-En-22241,i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,fear,0.9
2017-En-20139,I thought the nausea and headaches had passed but lol I feel awful today,fear,0.729
2017-En-21405,Multitasking .... I may have to induce these seeds of mine to sleep. #restless,fear,0.521
2017-En-21589,If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. ,fear,0.708
2017-En-20028,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ?? will be sneaking up on me #frightened,fear,0.875
2017-En-21747,??I... I can't! I'm scared! Bees terrify me.,fear,0.917
2017-En-20037,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear,0.875
2017-En-21286,@britishairways term 5 security queues at arrivals #shocking,fear,0.562
2017-En-22039,"@tcarrels  \nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist",fear,0.562
2017-En-21676,"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",fear,0.593
2017-En-22054,I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep,fear,0.688
2017-En-20116,How do you ever stop being #afraid of someone that you live with,fear,0.771
2017-En-20416,Everyday gay panic is STUNNING: I drew 1 guy's att'n to it when he blocked up a toilet stall's cracks w/paper towels. TOTAL INCOMPREHENSION.,fear,0.562
2017-En-22096,@andreasarahco do you actually heely on campus bc this should scare you,fear,0.646
2017-En-21559,So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning,fear,0.917
2017-En-21462,When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you.,fear,0.542
2017-En-21681,"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",fear,0.833
2017-En-21331,like srsly somebody help me deal with this social anxiety,fear,0.979
2017-En-22026,"With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology",fear,0.833
2017-En-20480,@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider #shocking,fear,0.521
2017-En-21719,Just had my interview for the medical internship and I am beyond nervous?? I was shaking so bad it was unreal??,fear,1
2017-En-20474,You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,fear,0.54
2017-En-22159,@FoxNews Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate.,fear,0.833
2017-En-21476,@SeanUnfiltered Texans are scared of this bunch! ,fear,0.6
2017-En-22134,And im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread.,fear,0.604
2017-En-20352,@gowoonist i got that but you were alarming,fear,0.583
2017-En-21945,Hey @gmail why can I only see 15 sent emails? Where's the thousands gone?  #panic,fear,0.833
2017-En-20232,The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,fear,0.667
2017-En-20522,@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything ,fear,0.521
2017-En-20324,Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,fear,0.604
2017-En-21425,"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",fear,0.604
2017-En-21475,@SeanUnfiltered Texans are scared of this bunch! #intimidated,fear,0.708
2017-En-21879,Val having a nervous breakdown #floss #GBBO,fear,0.688
2017-En-20083,Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear,0.812
2017-En-21177,Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,0.792
2017-En-21983,So I just opened This message Brooke sent me got me I am weak as the fuck ?? she is a fucking bully for no reason ????????????,fear,0.688
2017-En-20168,@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,fear,0.708
2017-En-20066,Do you think humans have the sense for recognizing impending doom? #anxiety,fear,0.833
2017-En-20240,I want to slide into the dms but im too fucking shy #shy,fear,0.667
2017-En-21869,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",fear,0.667
2017-En-22030,This brother know we know that his life was not in danger. This gun law got people in this country fearing for their life. White people.,fear,0.729
2017-En-21645,@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,fear,0.688
2017-En-20517,"@obyezeks \nWe can't forget d past.But while we apprehend and punish d culprits of the past,are we going to allow d present to slip away?",fear,0.521
2017-En-22137,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,fear,0.708
2017-En-20386,My roommate turns the sink off with her foot to avoid germs and a guy says 'YOUR roommate is feet girl?! I'm so sorry' plz help #nightmare,fear,0.583
2017-En-21997,I'm not afraid of clowns but I'm really hoping they don't make an appearance around my hometown.,fear,0.6
2017-En-20108,I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,fear,0.792
2017-En-20414,A concern of mine is that big name FA(like Malik) will tell other big potential FA's to steer clear of this franchise till Gus is gone.,fear,0.562
2017-En-21614,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,fear,0.528
2017-En-21765,@wittyneeraj What is Shehla Rashid &amp; Kaniyah Kumar saying about you ? and when they say truth indians threaten them. #FakeDemocracy,fear,0.646
2017-En-21468,@dilancliff @jackcourtney95 @ConnorGarnett1 Connor said he's worried that Jack will steal his girls on a night out ,fear,0.562
2017-En-20443,@NativeApprops @SBShear @HuffingtonPost Shew. That was #awful,fear,0.542
2017-En-20447,Bitch worry about me more than I worry about myself ????,fear,0.542
2017-En-20331,Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream ?? #horror #suchagirl,fear,0.604
2017-En-21606,Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless,fear,0.812
2017-En-22104,?? I just want to start all over again .,fear,0.667
2017-En-20486,Man Utd are shambles that was horrific ??????,fear,0.521
2017-En-20510,i've seen the elder watching me during my community hours and i honestly don't have an idea about what my assignment will be. ,fear,0.521
2017-En-22199,@DDNewsHindi  #UNGA no talks should be carried out with Pakistan now ... His mouth stinks of  #UriAttack,fear,0.542
2017-En-21313,@CNN please fire don lemon!!Do not let him report on anymore  protest. He is #horrible #negative and runs away from the issue at hand!,fear,0.562
2017-En-20293,"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas  #stressed",fear,0.625
2017-En-20206,#TerrorStatePak we r confirm that #navazsharif is post graduate distinction student of university of #terrorism. He can't spare himself.,fear,0.688
2017-En-22100,#terrorstatepak #pakistan is a #terror state,fear,0.729
2017-En-20441,"When you wake up, scroll through social media, and another father was taken from his child  #everyday #KeithLamontScott",fear,0.542
2017-En-21874,Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,fear,0.729
2017-En-20060,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear,0.845
2017-En-20325,"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol as a fellow UP grad, i shiver at the shallowness of his arguments",fear,0.604
2017-En-21438,watching my first Cage of Death and my word this is tremendous,fear,0.562
2017-En-20050,Today was horrible and it was only half a day,fear,0.854
2017-En-20017,Wah just woke up frm a fucking nightmare,fear,0.898
2017-En-22223,@tweetingacct @amandacarpenter @TeamTrump the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,fear,0.521
2017-En-20292,@Lrihendry I'm not sure we like this comparison.  USA should emulate #Israel's methods of protecting civilians against #terror attacks,fear,0.625
2017-En-21960,Q&amp;A with N. Christie @westernuHistory: fr. @marybethstart: What would Peter and Dardanella think of us knowing? #poorthings #shy,fear,0.583
2017-En-21397,#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake,fear,0.625
2017-En-21224,The moment you bring her to meet your best friend and you're nervous af! ????  #thefriendtest,fear,0.875
2017-En-20156,"@ExaltedCaptain reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another--",fear,0.729
2017-En-20383,"can only blame Jose ere why would you give Rojo another start after Sunday , fucking disaster waiting to happen &amp; it did shocking header !",fear,0.583
2017-En-21842,"@dburka I'm not sure what's worse: that, or the use of Comic Sans on a website (or anywhere else)  #shudder #comicsans",fear,0.562
2017-En-21555,First College Math Test tomorrow #nervous,fear,0.875
2017-En-20024,"Ever been really lonely and your phone keeps blowing up, but you just can�t pick it up and respond to people? #anxiety #recluse  #issues",fear,0.893
2017-En-20320,@carlybigelow13 first you take the room now you wanna beat me up #bully,fear,0.604
2017-En-20489,Damnnit! Gonna be 1400 pts shy on Chiefs Rewards of getting a post game photo.,fear,0.521
2017-En-20155,"Just heard what happen at grandad hometown last night such a terrible news ??, hope everyone okay ??",fear,0.729
2017-En-20402,@Taoist_Skeptic @jackaberlin @DrJillStein @politicususa Doubt U have anything to be afraid of as Trump has been vilifying minorities &amp; women,fear,0.562
2017-En-21220,@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,0.604
2017-En-20082,r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear,0.812
2017-En-21692,@ParamjitGarewal way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,fear,0.667
2017-En-21488,"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",fear,0.68
2017-En-22087,@C1TYofFL1NT This will haunt my dreams. @JoePrich,fear,0.771
2017-En-20207,"@ANI_news #Pakistan should stop cross border #terrorism if they really need solution for #KashmirIssue. @narendramodi sir, #India should act",fear,0.688
2017-En-22178,"@samsteinhp stop the presses, @realDonaldTrump said/proposed something racist. #shocking",fear,0.542
2017-En-20242,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,fear,0.667
2017-En-20107,An @amityaffliction kind of drive home from work today #nightmare #dailyfeels,fear,0.792
2017-En-20051,"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",fear,0.854
2017-En-20516,#hillaryclinton and their followers are #nervous of a #BernieSanders #millennials saying yes to a #woman #POTUS  #JillStein  not #warmonger,fear,0.521
2017-En-21756,Can't believe @haven ring my parents NOW when they go tomorrow to say no disabled washing facility for my wheelchair bound dad #shocking,fear,0.75
2017-En-20119,So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking ??????????,fear,0.771
2017-En-20100,And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear,0.792
2017-En-21491,#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership #fear,fear,0.51
2017-En-20305,@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy,fear,0.625
2017-En-21831,am actual stranded at ma dad's maself n the fuckin fire alarm went off n a dunno if it's just for his gaff or the whole building :),fear,0.542
2017-En-21152,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,0.542
2017-En-21748,@wowairsupport it world be great if the live support was actually helpful #nightmare,fear,0.583
2017-En-20426,@myaeggs I can't get a better look at her bc I'm too shy to make eye contact ;-;,fear,0.562
2017-En-20009,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,0.92
2017-En-21395,@DsWorld18 did you hear it? Cause I am getting messages about the ground shaking,fear,0.56
2017-En-20365,#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar,fear,0.583
2017-En-21324,@rockcock64 cum and despair,fear,0.604
2017-En-22128,"Idk why but this Time around its so hard that it hurts, I already miss them all so much #silly #family #friends #nervous",fear,0.625
2017-En-20281,"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking",fear,0.637
2017-En-20053,@RoseTintMyWorId fucking hell mate absolute nightmare ??,fear,0.854
2017-En-22173,Democracy doesn't work\n #mob #mentality #mass #hysteria  #mongering #oligarchy,fear,0.729
2017-En-22001,Tremor!!!\n #tremor,fear,0.74
2017-En-20154,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,fear,0.729
2017-En-20497,"When a guy comes on the train that smells like a mixture of a damp dog, old sweat and sewage works!!!!#gross #horrid #getoffthetrain #smelly",fear,0.521
2017-En-21868,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? ",fear,0.675
2017-En-20005,@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear,0.938
2017-En-21511,#Obama #DOJ have destroyed USA!These #CharlotteProtest are acts of #terrorism dating back to #Ferguson Terrorism is how it should be treated,fear,0.604
2017-En-20285,@Sami_3499 Oh noooo!  #nomorehammocks #nightmare ;),fear,0.625
2017-En-21369,I stepped into the shower and my spidey senses tangled. I immediately looked up and saw a spider directly above my head. #terror,fear,0.812
2017-En-21373,"@ddcl2519 @ABC not nice.  Wishing harm on another human being is deplorable.  Your comments show how human, and humane you are. ",fear,0.521
2017-En-20271,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,fear,0.646
2017-En-20169,"I'm okay, dont worry. I wish i'd been a better kid. I'm trying to slow down. I'm sorry for letting you down.",fear,0.708
2017-En-21904,@Owlman2011 @charitypricey @jon_newsome @PRAWNSANDOWl @smith_alister @MikeConnelly9 average 22000 for the massif... #shocking,fear,0.521
2017-En-20253,this Mac update has me some kind of apprehensive.,fear,0.646
2017-En-20231,bout to read this article 'Moving the Conversation Forward: Homosexuality &amp; Christianity' from someone in the foursquare church #nervous,fear,0.667
2017-En-20272,"#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic",fear,0.646
2017-En-20163,Don't wanna really go out but I can't say no. Deffo have a fear of missing out,fear,0.708
2017-En-20302,horrid having a car n no liscence,fear,0.625
2017-En-22022,@ZachZaidman  shocking,fear,0.625
2017-En-20101,Andrew's hands start shaking and he says 'I hope I die.. like right now',fear,0.792
2017-En-21416,It's unbelievable that security guard acting like a gangster trying 2 threaten me and tell me what to do with my own home. #terrify #annoy ??,fear,0.86
2017-En-20193,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear,0.688
2017-En-20241,@BartholomewD It's -terrible-! We're going to the local fish/chip place in Kirribilli #terrible,fear,0.667
2017-En-20440,@ExpressScripts u shd b embrrssd. u jack up my bp meds twice and it will still take 3-5 days? Not express at all. #expressscripts ,fear,0.542
2017-En-21516,"Yall rlly gotta stop lettin bees put fear in ur heart. unless ur allergic, I'm not tryna see u run around from a fuckin bee...chill. u soft.",fear,0.542
2017-En-20369,@NRA @HillaryClinton  She never said anything about taking away guns but I would now bc of your stupid scare tactics for gun sales.Sickening,fear,0.583
2017-En-20196,"I'm used to bears, I'm used to coyotes, I love the idea of wolves. But this is hard. I don't want to be fearful of the meadow or the pines.",fear,0.688
2017-En-22078,Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n#Loneliness #aloneinthecity #fear,fear,0.729
2017-En-20353,not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible,fear,0.583
2017-En-21434,"Kernel panic = sweating, sneezing, hiccuping, snot, tears, crying. Clearly my body has an issue with chilli.",fear,0.729
2017-En-20133,@prw190 #zionist = #terror \nImagine this kid was a #Palestinian or #Muslim\nZionists stealing #innocence of childhood from #Jewish #children,fear,0.75
2017-En-21800,"#Pakistan is �terrorist state�, carries out #war crimes: #India to @UN.\n #UNGA  #UN",fear,0.667
2017-En-22171,I'm so over having anxiety,fear,0.807
2017-En-21848,@PridefulSamurai horrible things,fear,0.73
2017-En-20236,#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves,fear,0.667
2017-En-21190,Watching It Follows.  This is a super freaky movie.  #scary,fear,0.708
2017-En-20370,Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10  #killme,fear,0.583
2017-En-21759,@nytimes I'm trying to imagine the first response of a President Trump to an act of terror. The thought itself terrorizes me.,fear,0.854
2017-En-20355,"#America finding #gratitude amidst the sadness and frustration about race, #fear, anger and #racism, i remain hopeful _ i'm an earth fixer'",fear,0.583
2017-En-20176,My anxiety is playing around HELP!!!!!,fear,0.705
2017-En-20103,"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",fear,0.792
2017-En-20462,@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary,fear,0.542
2017-En-21884,Mary Berry and her reign of terror,fear,0.688
2017-En-20501,Focusing primarily on the person you�re talking to rather than yourself and the impression you�re making lessens social anxiety.,fear,0.521
2017-En-21372,"@ddcl2519 @ABC not nice.  Wishing harm on another human being is deplorable.  Your comments show how human, and humane you are. #bully",fear,0.542
2017-En-20265,"@Megannn_walsh12 @itsshelleeey never said that,Just not fair how Yous think it's completely okay to bully someone",fear,0.646
2017-En-22203,Angel got me nervous out here ??,fear,0.75
2017-En-21851,@ryleycathryn @Mack_Shepp did you discover the alarming rate at which bees are dying and how important they are to our way of life?,fear,0.646
2017-En-21851,"These shrinking hairs, they feared not death, but they seemed to fear Malbone",fear,0.646
2017-En-21851,The panic excited by the squatter skunk had been another lesson.,fear,0.646
2017-En-21851,Was it not fear that had made his nerves so rocklike as he faced that crowd and made his get-away?,fear,0.646
2017-En-21851,After the panic had once seized the enemy there was but little firing.,fear,0.646
2017-En-21851,I was literally shaking ,fear,0.646
2017-En-21851,"But he had scarcely marked the paper when he started back, in a panic",fear,0.646
2017-En-21851,exams are a real panic,fear,0.646
2017-En-21851,I dread to go down,fear,n
2017-En-21851,"We do not dread, rather do we welcome, their progress in education and industry",fear,n
2017-En-21851,The dread of French domination seems to have haunted him like a nightmare.,fear,n
2017-En-21851,I cannot remember the time when a dread of one kind or another was not in the air.,fear,n
2017-En-21851,every muscle of his big body trembling in affright,fear,n
2017-En-21851,"affright in her heart,",fear,n
2017-En-21851,The man who was looking through the desk sprang up in affright,fear,n
2017-En-21851,I was too nervous to function,fear,n
2017-En-21851,I panic too much,fear,0.646
2017-En-21851,A panic was surging through me; must I be brought to book by such as he?,fear,0.646
2017-En-21851,I have allowed myself to give way to panic like a child in the dark.,fear,0.646
2017-En-21851,"""I fear you do not quite understand me,"" said the Professor",fear,0.646
2017-En-21851,im super scared of ghosts,fear,0.646
2017-En-21851,had a nightmare woke up scared,fear,0.646
2017-En-21851,had a nightmare woke up shivering,fear,0.646
2017-En-20270,@JaySekulow what can we do 2 get @realDonaldTrump 2 reveal his taxes? That is the immediate danger. But u will not answer me. ,fear,0.646
2017-En-21312,what to wear Friday \nspeaking in front of 100's.   #nervous,fear,0.833
2017-En-20316,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,fear,0.616
2017-En-20138,"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",fear,0.74
2017-En-20027,@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.,fear,0.875
2017-En-20069,I feel horrible. I have accounting today but physically and mentally am not okay ??,fear,0.833
2017-En-21301,I #cry out #fear to clear a #path\nBut my Voice seems 2 silent 2 chase a #rat\nAm just indoor #expecting to open door\na #weak wise #fool I am,fear,0.708
2017-En-21757,Can't believe @haven ring my parents NOW when they go tomorrow to say no disabled washing facility for my wheelchair bound dad ,fear,0.562
2017-En-21620,On the drive home today I heard a censored version of Spirits by The Strumbellas. 'Guns' replaced with 'dreams'. Just NO. #awful #censorship,fear,0.547
2017-En-20342,Onus is on #Pak to act against #terror groups which find all types of support for cross border terror: #MEA,fear,0.604
2017-En-22123,@curlygirlmimi guess is cause you small and girly. I dunno how this works.. I did frighten though.. She's. A big'un,fear,0.604
2017-En-20089,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough,fear,0.812
2017-En-22008,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",fear,0.792
2017-En-20439,@vibaby @imEB y'all had crackheads in the islands? I don't know why I find that so interesting and shocking,fear,0.553
2017-En-21870,"@BBTooms This is perfect example of why what paul said about her, was right.  One of the most ignorant competitors ive seen. #bully #c$%t",fear,0.583
2017-En-21486,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,fear,0.958
2017-En-21673,Celtic sure know how to send a wild shiver down your spine,fear,0.746
2017-En-20367,@BaileyDemented @hsmitty3 ill kill u if u bully her ??????,fear,0.583
2017-En-20524,@Delta stuck on runway after being diverted to Fargo. Continuously told just 10 more mins for the past 4 hours. No food/water offered ,fear,0.521
2017-En-20398,While we focus on issue of #IPCA @IHFOKids Indulges in #intimidation @BringRoshniHome @ChildrensIssues @MEAIndia @MinistryWCD #StopCruelty,fear,0.562
2017-En-22062,Was actually just watching AHS while half covering my eyes #scared #Roanoke  #AHSRoanoke,fear,0.85
2017-En-21295,Time for some despair #SDR3 #despair #fuckthisanime,fear,0.917
2017-En-22167,"Just Laying Here, Can't Sleep 4 Some Reason ",fear,0.521
2017-En-20249,Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,fear,0.66
2017-En-21963,"tesco. why OH why cant my Visa electron be accepted on line , I am 55 , NOT 15 ?? #shocking",fear,0.516
2017-En-21402,I thought I wouldn't have to deal with that fire alarm again today and then I stepped into Mesa during their fire drill??,fear,0.521
2017-En-21882,@Roger_Dagenham Aye. There's a brief window in both morning and afternoon otherwise just horrific until late evening.,fear,0.566
2017-En-20282,A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. ,fear,0.632
2017-En-20230,@MrMalky @kwr66 How awful! Switched off!,fear,0.667
2017-En-21786,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life?? #fearful,fear,0.833
2017-En-20333,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,fear,0.604
2017-En-21994,@AnthonyEinzig I'm so sorry. This is heartbreaking and so scary. If it can happen there it can happen anywhere. Please be safe ???? #terror,fear,0.854
